wikipedia movie id,movie name,year
975900,Ghosts of Mars,2001.0
3196793,Getting Away with Murder: The JonBenét Ramsey Mystery,2000.0
28463795,Brun bitter,1988.0
9363483,White Of The Eye,1987.0
261236,A Woman in Flames,1983.0
13696889,The Gangsters,1913.0
18998739,The Sorcerer's Apprentice,2002.0
10408933,Alexander's Ragtime Band,1938.0
9997961,Contigo y aquí,1974.0
2345652,City of the Dead,1960.0
175026,Sarah and Son,1930.0
24229100,Lady Snowblood 2: Love Song of Vengeance,1974.0
6631279,Little city,1997.0
171005,Henry V,1989.0
18296435,Aaah Belinda,1986.0
30388930,1919,1984.0
77856,Mary Poppins,1964.0
32456683,Die Fahne von Kriwoj Rog,1967.0
33420460,Keep the Change,1992.0
175024,The Devil's Holiday,1930.0
612710,New Rose Hotel,1999.0
21926710,White on Rice,2009.0
33427105,Freddy and the Song of the South Pacific,1962.0
31983669,Road to Life,1931.0
17715326,Camera Thrills,1935.0
22087420,"Ferdinando I, re di Napoli",1959.0
20604092,Anbu Thozhi,2007.0
21344842,Middle Age Spread,1979.0
156558,Baby Boy,2001.0
11448183,Bindiya Chamkegi,1984.0
9633533,Vandanam,1989.0
31323091,Emilia Galotti,1958.0
27611999,Special Effects,1984.0
31025505,El Misterioso señor Marquina,1943.0
29528534,Anokha Rishta,1986.0
1364293,They Knew What They Wanted,1940.0
29772142,Karayilekku Oru Kadal Dooram,2010.0
26067101,Siam Sunset,1999.0
26623942,Kausthubham,2010.0
9912533,Cuando los duendes cazan perdices,1955.0
9548445,Archie: To Riverdale and Back Again,1990.0
32445576,Vinayaka Geleyara Balaga,2011.0
26878691,Mysterious Island,1982.0
10275424,Woman Hungry,1930.0
2314463,Electric Apricot: Quest For Festeroo,2006.0
2487170,Troops,1997.0
25960460,Daddy and Them,2001.0
13711159,The Sky Pirate,1914.0
261237,The Gods Must Be Crazy,1980.0
21153158,Behind The Player: John 5,2008.0
14631844,Joan the Woman,1917.0
14301436,Follow the Crowd,1918.0
12008535,Rudo y Cursi,2008.0
4951456,Kinjite: Forbidden Subjects,1989.0
36009421,Jay Vejay,1977.0
13281430,My Name is Fame,2006.0
11633165,Innocence,1997.0
21449578,Hamsun,1996.0
23799443,Libertad bajo palabra,1961.0
5708633,The Great New Wonderful,2006.0
12053509,Loverboy,1989.0
7252019,Cally's Comet,1911.0
3645672,I Fidanzati,1962.0
29198000,Chandra Mukhi,1993.0
1369204,Juarez,1939.0
21235485,Mesmerized,1986.0
19494009,Klingende toner,1945.0
31323885,Soldat und Sportler,1959.0
12371532,Chasing Ghosts: Beyond the Arcade,2007.0
24399617,Bruce Lee: The Lost Interview,1994.0
32104837,It Came Upon the Midnight Clear,1984.0
20334086,Vipers,2008.0
5915856,Ivar,2003.0
2647998,The Human Tornado,1976.0
21958879,Vent'anni,1949.0
1254263,Shivers,1975.0
20944359,Adventurer's Fate,1958.0
11353896,Zindagi,1976.0
24761154,My Friend Ganesha,2007.0
31304361,The Tango Player,1991.0
273431,Terrorama,2001.0
16686643,One Small Step: The Story of the Space Chimps,1995.0
7364373,The Covered Wagon,1923.0
31026308,Sombra Verde,1954.0
11996174,Aaj Ka Andha Kanoon,2003.0
7028314,The Little Hut,1957.0
31156641,Nariman,2001.0
