movie name,year,genres,poster_path
Ghosts of Mars,2001.0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",/rBmkaKxRg55zBZr11EGbedFJM0.jpg
Henry V,1989.0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]",/9k34jK0UlAqcbPCgY3Ny7CMwXZL.jpg
Mary Poppins,1964.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",/oPXf92g2gjlPqduj6vRH9yvh0Yb.jpg
White on Rice,2009.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",/fkPi4PzgY7bsh3UAqbwArAIU3QB.jpg
Baby Boy,2001.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/m7p3qFZsULnvOM5GkFCGCAueeSX.jpg
Siam Sunset,1999.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",/nphzIbndCj7Tw8nRzrDalbvOQrf.jpg
Daddy and Them,2001.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",/m9d9h2V4EozwT6TqkjdTpPWhpkT.jpg
The Gods Must Be Crazy,1980.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",/yvD2BWOEM5N4S4f6Yj8IVVjoKQO.jpg
Rudo y Cursi,2008.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/bAErOVC7sAvNyz4ENDDOlqMOwS8.jpg
Kinjite: Forbidden Subjects,1989.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",/rTqTswNj2hHKrfMxECK3O7fRrIS.jpg
Loverboy,1989.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",/xZp1Uug3uc99WQWouUcs5CWxcbw.jpg
Juarez,1939.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",/pS24hWmKy52CynopeU9iDsKIi07.jpg
The Human Tornado,1976.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",/q2ziWql5KNyZUerDDt9CEA9F5bp.jpg
Shivers,1975.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",/qNfWhBr1gnxsc16utYeEUB0DE5J.jpg
The Little Hut,1957.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",/c2ix7O4sXFYebALXnKalPjb1ZJ9.jpg
Vixen!,1968.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/tc10ZEAG058XGuNgiVEkUvGdU8L.jpg
Closing the Ring,2007.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/8dTQATdygnlETO4GwO9WDAWRBvd.jpg
The Boston Strangler,1968.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",/yBSEUuuiDF3SCTphCF3OchvCZP0.jpg
Deadly Voyage,1996.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",/5R88laZ7pqDBCf55ekbDMiCN5sd.jpg
The Hero: Love Story of a Spy,2003.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",/mtXEssCOtK9bi2mZ92gAd36U0F9.jpg
ChromeSkull: Laid to Rest 2,2011.0,"[{'id': 27, 'name': 'Horror'}]",/3PsmhUxHmfXiNfRrdjZURuWkjch.jpg
